FID,gid,NAAM,PLAATS,CATEGORIE,FUNCTIE,TYPE,STAAT,RMONNUMMER,TBGCNUMMER,INFOLINK,THUMBNAIL,HFDFUNCTIE,the_geom,FOTOGRAAF,FOTO_GROOT,BOUWJAAR
Molens.837,837,De Wijnsermolen,Wyns (Wijns),windmolen,poldermolen,8-kante grondzeiler,bestaand,35691,03211,https://zoeken.allemolens.nl/tenbruggencatenummer/03211,https://images.memorix.nl/rce/thumb/350x350/d24d63f0-d027-2f34-3ed2-b0f00355379f.jpg,poldermolen,POINT (185567.0000002504 586213.9999948393),Kris Roderburg (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/d24d63f0-d027-2f34-3ed2-b0f00355379f.jpg,1871
Molens.838,838,De Volharding,Jislum,windmolen,poldermolen,8-kante grondzeiler,bestaand,15632,03218,https://zoeken.allemolens.nl/tenbruggencatenummer/03218,https://images.memorix.nl/rce/thumb/350x350/803dc1ef-0c16-8df7-85d4-ce7a1587b578.jpg,poldermolen,POINT (187182.00000026307 591778.0000008994),Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/803dc1ef-0c16-8df7-85d4-ce7a1587b578.jpg,1872
Molens.839,839,De Phenix,Nes (Ameland),windmolen,korenmolen,8-kante grondzeiler,bestaand,7611,03221,https://zoeken.allemolens.nl/tenbruggencatenummer/03221,https://images.memorix.nl/rce/thumb/350x350/e0d3e087-5e87-5bbe-a117-8b1b3956d644.jpg,korenmolen,POINT (180730.99999970727 606886.9999969116),W.A. Korpershoek (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/e0d3e087-5e87-5bbe-a117-8b1b3956d644.jpg,1880
Molens.840,840,De Hantumermolen,Hantum,windmolen,poldermolen,8-kante grondzeiler,bestaand,38699,03224,https://zoeken.allemolens.nl/tenbruggencatenummer/03224,https://images.memorix.nl/rce/thumb/350x350/5c271855-d516-b374-4e40-b12eca1e79fa.jpg,poldermolen,POINT (193344.99999972098 596916.0000018994),Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/5c271855-d516-b374-4e40-b12eca1e79fa.jpg,1880
Molens.841,841,De Hond,Paesens,windmolen,koren- pelmolen,8-kante stellingmolen,bestaand,31591,03226,https://zoeken.allemolens.nl/tenbruggencatenummer/03226,https://images.memorix.nl/rce/thumb/350x350/2253fb1f-cfaf-1e0c-e621-ed80e5a0023b.jpg,koren-/industriemolen,POINT (201572.0000002531 601546.0000047846),Frans Kabel (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/2253fb1f-cfaf-1e0c-e621-ed80e5a0023b.jpg,1861
Molens.842,842,Ropta,Metslawier,windmolen,koren- pelmolen,8-kante stellingmolen,bestaand,31577,03227,https://zoeken.allemolens.nl/tenbruggencatenummer/03227,https://images.memorix.nl/rce/thumb/350x350/9704ab46-be9d-f91f-dffd-5a984b63bce3.jpg,koren-/industriemolen,POINT (200475.99999981158 598327.0000032044),Frans Kabel (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/9704ab46-be9d-f91f-dffd-5a984b63bce3.jpg,1836
Molens.843,843,De Eendragt,Anjum,windmolen,koren- pelmolen,8-kante stellingmolen,bestaand,31556,03228,https://zoeken.allemolens.nl/tenbruggencatenummer/03228,https://images.memorix.nl/rce/thumb/350x350/566ac3bb-b544-7754-ad93-3c6db94e956c.jpg,koren-/industriemolen,POINT (204313.99999973844 598890.0000013958),Kris Roderburg (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/566ac3bb-b544-7754-ad93-3c6db94e956c.jpg,1889
Molens.844,844,De Beintemapoldermolen,Westergeest,windmolen,poldermolen,8-kante grondzeiler,bestaand,23768,03230,https://zoeken.allemolens.nl/tenbruggencatenummer/03230,https://images.memorix.nl/rce/thumb/350x350/1bdad866-d7fe-1b1e-fe7d-b01eac9305c3.jpg,poldermolen,POINT (201324.0000000443 592476.9999999851),Frans Kabel (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/1bdad866-d7fe-1b1e-fe7d-b01eac9305c3.jpg,1870
Molens.845,845,Tochmaland,Kollum,windmolen,poldermolen,8-kante grondzeiler,bestaand,23743,03234,https://zoeken.allemolens.nl/tenbruggencatenummer/03234,https://images.memorix.nl/rce/thumb/350x350/1229a92d-59fc-c997-42b0-3bd999282967.jpg,poldermolen,POINT (205616.00000014502 589589.9999952919),Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/1229a92d-59fc-c997-42b0-3bd999282967.jpg,1893
Molens.846,846,De Hoop,Dokkum,windmolen,korenmolen,8-kante stellingmolen,bestaand,13186,03246,https://zoeken.allemolens.nl/tenbruggencatenummer/03246,https://images.memorix.nl/rce/thumb/350x350/7d80bea0-9e5c-c484-a14a-f87955f2602a.jpg,korenmolen,POINT (195701.9999998188 593109.9999991367),Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/7d80bea0-9e5c-c484-a14a-f87955f2602a.jpg,1849
Molens.847,847,Zeldenrust,Dokkum,windmolen,koren- pelmolen,8-kante stellingmolen,bestaand,13097,03247,https://zoeken.allemolens.nl/tenbruggencatenummer/03247,https://images.memorix.nl/rce/thumb/350x350/ca31e849-74de-bc6a-d01f-0c839328b021.jpg,koren-/industriemolen,POINT (195464.99999972904 593302.9999994698),Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/ca31e849-74de-bc6a-d01f-0c839328b021.jpg,1862
Molens.848,848,Koartwâld/Feanstermoune,Surhuisterveen,windmolen,korenmolen,8-kante stellingmolen,bestaand,511200,03261,https://zoeken.allemolens.nl/tenbruggencatenummer/03261,https://images.memorix.nl/rce/thumb/350x350/b3beb5c2-2c66-53cc-c25a-7608b3b9bf04.jpg,korenmolen,POINT (208211.999999752 577808.000002975),Frans Kabel (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/b3beb5c2-2c66-53cc-c25a-7608b3b9bf04.jpg,onbekend
Molens.849,849,Welgelegen,Heerenveen,windmolen,korenmolen,8-kante stellingmolen,bestaand,21171,03273,https://zoeken.allemolens.nl/tenbruggencatenummer/03273,https://images.memorix.nl/rce/thumb/350x350/9926629c-0b6d-0e73-4c62-4b01c9a64e8b.jpg,korenmolen,POINT (190699.9999997491 553080.0000043928),Frans Kabel (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/9926629c-0b6d-0e73-4c62-4b01c9a64e8b.jpg,1849
Molens.850,850,De Skarrenmoune,Scharsterbrug,windmolen,poldermolen,8-kante grondzeiler,bestaand,13251,03289,https://zoeken.allemolens.nl/tenbruggencatenummer/03289,https://images.memorix.nl/rce/thumb/350x350/83a5e76b-9a2f-0835-3706-a0b02ec12c98.jpg,poldermolen,POINT (181260.0000000489 551222.9999978151),Frans Kabel (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/83a5e76b-9a2f-0835-3706-a0b02ec12c98.jpg,1888
Molens.851,851,'t Lam,Woudsend,windmolen,koren- pelmolen,8-kante stellingmolen,bestaand,39846,03295,https://zoeken.allemolens.nl/tenbruggencatenummer/03295,https://images.memorix.nl/rce/thumb/350x350/35bf06a2-b8e2-8f1b-acee-c3938892e060.jpg,koren-/industriemolen,POINT (171110.99999981245 550734.0000015999),Frans Kabel (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/35bf06a2-b8e2-8f1b-acee-c3938892e060.jpg,onbekend
Molens.852,852,Doris Mooltsje,Oudega,windmolen,poldermolen,spinnenkop,bestaand,527647,03306,https://zoeken.allemolens.nl/tenbruggencatenummer/03306,https://images.memorix.nl/rce/thumb/350x350/aab6ac6c-e2a7-e813-7b67-a5e5e5fb18c0.jpg,poldermolen,POINT (165038.00000007852 556804.000001358),Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/aab6ac6c-e2a7-e813-7b67-a5e5e5fb18c0.jpg,1996
Molens.853,853,De Monnikenburenmolen of Nijhuizumer Molen,Nijhuizum,windmolen,poldermolen,spinnenkop,bestaand,527646,03316,https://zoeken.allemolens.nl/tenbruggencatenummer/03316,https://images.memorix.nl/rce/thumb/350x350/21ab90ac-d18b-df80-6895-3d49e6eb6d66.jpg,poldermolen,POINT (161868.00000031907 555480.0000042038),Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/21ab90ac-d18b-df80-6895-3d49e6eb6d66.jpg,onbekend
Molens.854,854,De Koe,Veere,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,36991,03319,https://zoeken.allemolens.nl/tenbruggencatenummer/03319,https://images.memorix.nl/rce/thumb/350x350/8b55d692-724c-d2be-09dd-6bb57a9b922f.jpg,korenmolen,POINT (35271.99999991042 397028.99999515305),Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/8b55d692-724c-d2be-09dd-6bb57a9b922f.jpg,1909
Molens.855,855,Seismolen,Middelburg,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,29478,03320,https://zoeken.allemolens.nl/tenbruggencatenummer/03320,https://images.memorix.nl/rce/thumb/350x350/2f50cacf-e588-69ae-8604-a43b63a404e2.jpg,korenmolen,POINT (31155.999999851818 391553.99999781087),onbekend (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/2f50cacf-e588-69ae-8604-a43b63a404e2.jpg,1728
Molens.856,856,Hulsters Molen,Schoondijke,windmolen,korenmolen,ronde stenen beltmolen,bestaand,31528,03322,https://zoeken.allemolens.nl/tenbruggencatenummer/03322,https://images.memorix.nl/rce/thumb/350x350/bd5c2c90-fdfe-b594-7ee9-1b7b00ec0c3a.jpg,korenmolen,POINT (26987.999999941356 375216.9999960795),Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/bd5c2c90-fdfe-b594-7ee9-1b7b00ec0c3a.jpg,1884
Molens.857,857,De Witte Juffer,IJzendijke,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,31531,03324,https://zoeken.allemolens.nl/tenbruggencatenummer/03324,https://images.memorix.nl/rce/thumb/350x350/2c30a1f0-a5df-f35f-c35a-1a1735326e3a.jpg,korenmolen,POINT (31490.00000011995 371637.99999509525),Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/2c30a1f0-a5df-f35f-c35a-1a1735326e3a.jpg,1841
Molens.858,858,De Harmonie,Biervliet,windmolen,korenmolen,ronde stenen beltmolen,bestaand,35019,03326,https://zoeken.allemolens.nl/tenbruggencatenummer/03326,https://images.memorix.nl/rce/thumb/350x350/07ca4997-01ff-0c63-4864-4a9e2c1782ef.jpg,korenmolen,POINT (36488.99999961248 372555.99999687145),Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/07ca4997-01ff-0c63-4864-4a9e2c1782ef.jpg,1842
Molens.859,859,Eben Haezer,Spui (Terneuzen),windmolen,korenmolen,ronde stenen beltmolen,bestaand,35023,03489,https://zoeken.allemolens.nl/tenbruggencatenummer/03489,https://images.memorix.nl/rce/thumb/350x350/4f72d6b2-df0c-6339-fc84-e6e18fe84902.jpg,korenmolen,POINT (49739.000000337925 368748.0000041595),Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/4f72d6b2-df0c-6339-fc84-e6e18fe84902.jpg,1807
