OID_,gid,NAAM,PLAATS,CATEGORIE,FUNCTIE,TYPE,STAAT,RMONNUMMER,TBGCNUMMER,INFOLINK,THUMBNAIL,HFDFUNCTIE,FOTOGRAAF,FOTO_GROOT,BOUWJAAR,x,y
495,496,De Rozeboom,Krabbendijke,windmolen,korenmolen,ronde stenen grondzeiler,bestaand,32416,01649,https://zoeken.allemolens.nl/tenbruggencatenummer/01649,https://images.memorix.nl/rce/thumb/350x350/2774b19a-0c3b-bf51-5a6e-46264c164fca.jpg,korenmolen,onbekend (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/2774b19a-0c3b-bf51-5a6e-46264c164fca.jpg,1862,65793,383320
496,497,Oostmolen,Kloetinge,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,16422,01656,https://zoeken.allemolens.nl/tenbruggencatenummer/01656,https://images.memorix.nl/rce/thumb/350x350/36c86fbb-cc5f-b32f-bdd9-71973e0cda99.jpg,korenmolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/36c86fbb-cc5f-b32f-bdd9-71973e0cda99.jpg,1704,53203,390803
497,498,De Koornbloem,Goes,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,16373,01657,https://zoeken.allemolens.nl/tenbruggencatenummer/01657,https://images.memorix.nl/rce/thumb/350x350/90110a98-0df1-ebc0-8e8a-a3aa5430e03b.jpg,korenmolen,onbekend (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/90110a98-0df1-ebc0-8e8a-a3aa5430e03b.jpg,1801,50788,392135
498,499,Nooit Gedacht,Eindewege/'s-Heer Arendskerke,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,16401,01658,https://zoeken.allemolens.nl/tenbruggencatenummer/01658,https://images.memorix.nl/rce/thumb/350x350/fa6cd370-0d01-63e3-066e-698b0c9014bd.jpg,korenmolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/fa6cd370-0d01-63e3-066e-698b0c9014bd.jpg,1872,45735,391190
499,500,De Koning,Middelburg,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,29611,01660,https://zoeken.allemolens.nl/tenbruggencatenummer/01660,https://images.memorix.nl/rce/thumb/350x350/d3b41d10-635d-5ce4-1f2e-34a25d7df427.jpg,korenmolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/d3b41d10-635d-5ce4-1f2e-34a25d7df427.jpg,1882,32841,392193
500,501,De Hoop,Middelburg,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,29653,01662,https://zoeken.allemolens.nl/tenbruggencatenummer/01662,https://images.memorix.nl/rce/thumb/350x350/eb8ee30b-765f-fd49-7358-2cecb9252fa3.jpg,korenmolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/eb8ee30b-765f-fd49-7358-2cecb9252fa3.jpg,1755,31425,390982
501,502,Ons Genoegen,Middelburg,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,29389,01663,https://zoeken.allemolens.nl/tenbruggencatenummer/01663,https://images.memorix.nl/rce/thumb/350x350/65185286-cb03-c16b-8b6e-522a51a2346b.jpg,korenmolen,onbekend (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/65185286-cb03-c16b-8b6e-522a51a2346b.jpg,1847,31693,389976
502,503,De Pere,Oost-Souburg,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,37843,01664,https://zoeken.allemolens.nl/tenbruggencatenummer/01664,https://images.memorix.nl/rce/thumb/350x350/c4a10de1-7961-2884-a41f-258dff4fb1af.jpg,korenmolen,onbekend (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/c4a10de1-7961-2884-a41f-258dff4fb1af.jpg,1725,30615,387685
503,504,Oranjemolen,Vlissingen,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,37834,01665,https://zoeken.allemolens.nl/tenbruggencatenummer/01665,https://images.memorix.nl/rce/thumb/350x350/12be4908-1171-153e-ed4b-6f075841b7b0.jpg,korenmolen,Dennis Nijhuis (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/12be4908-1171-153e-ed4b-6f075841b7b0.jpg,onbekend,29399,385056
504,505,Molen van Risseeuw,Breskens,windmolen,korenmolen,ronde stenen stellingmolen,restant,527658,01668,https://zoeken.allemolens.nl/tenbruggencatenummer/01668,https://collecties.allemolens.nl/HttpHandler/icoon.ico?icoonfromxmlbeschr=12378,korenmolen,allemolens.nl,https://collecties.allemolens.nl/HttpHandler/icoon.ico?icoonfromxmlbeschr=12378,1858,27279,379587
505,506,Molen van Nieuwvliet,Nieuwvliet,windmolen,korenmolen,ronde stenen grondzeiler,bestaand,31529,01670,https://zoeken.allemolens.nl/tenbruggencatenummer/01670,https://images.memorix.nl/rce/thumb/350x350/542f600b-6774-8e5c-5988-48f0ba726e71.jpg,korenmolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/542f600b-6774-8e5c-5988-48f0ba726e71.jpg,1850,21302,378042
506,507,Nooitgedacht (vh. De Kat),Cadzand,windmolen,korenmolen,ronde stenen beltmolen,bestaand,31510,01671,https://zoeken.allemolens.nl/tenbruggencatenummer/01671,https://images.memorix.nl/rce/thumb/350x350/6f05bf73-57e1-253d-bbb0-025a94140bf9.jpg,korenmolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/6f05bf73-57e1-253d-bbb0-025a94140bf9.jpg,1898,17553,377017
507,508,Molen van Aalbrechtse,Cadzand,windmolen,korenmolen,ronde stenen grondzeiler,restant,geen  rijksmonument,01672,https://zoeken.allemolens.nl/tenbruggencatenummer/01672,https://images.memorix.nl/rce/thumb/350x350/f32f5b1b-fda8-d26d-7db1-376ccbdb56eb.jpg,korenmolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/f32f5b1b-fda8-d26d-7db1-376ccbdb56eb.jpg,1848,17114,377556
508,509,Molen van Retranchement,Retranchement,windmolen,koren- pelmolen,standerdmolen (open),bestaand,33921,01673,https://zoeken.allemolens.nl/tenbruggencatenummer/01673,https://images.memorix.nl/rce/thumb/350x350/59edd11b-c829-899f-adb3-4a4f7944c193.jpg,koren-/industriemolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/59edd11b-c829-899f-adb3-4a4f7944c193.jpg,onbekend,15577,375222
