OID_,gid,NAAM,PLAATS,CATEGORIE,FUNCTIE,TYPE,STAAT,RMONNUMMER,TBGCNUMMER,INFOLINK,THUMBNAIL,HFDFUNCTIE,FOTOGRAAF,FOTO_GROOT,BOUWJAAR,x,y
0,1,De Trouwe Waghter of Trouwe Wachter,Tienhoven,windmolen,poldermolen,wipmolen,bestaand,26483,00003,https://zoeken.allemolens.nl/tenbruggencatenummer/00003,https://images.memorix.nl/rce/thumb/350x350/6e74f114-3fc0-8904-6896-b44a616a2b03.jpg,poldermolen,Henk Baas (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/6e74f114-3fc0-8904-6896-b44a616a2b03.jpg,1832,134826,464911
1,2,Molen Gabrigl of Voorste Molen,Kortenhoef,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,17405,00005,https://zoeken.allemolens.nl/tenbruggencatenummer/00005,https://images.memorix.nl/rce/thumb/350x350/748f1d3c-bf84-a352-c2a9-a194625f058e.jpg,poldermolen,onbekend (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/748f1d3c-bf84-a352-c2a9-a194625f058e.jpg,1635,132477,472101
2,3,Loenderveense Molen,Loenen aan de Vecht,windmolen,poldermolen,8-kante grondzeiler,bestaand,26080,00007,https://zoeken.allemolens.nl/tenbruggencatenummer/00007,https://images.memorix.nl/rce/thumb/350x350/d2333136-4ddc-4c27-1fa6-f0a014fb2096.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/d2333136-4ddc-4c27-1fa6-f0a014fb2096.jpg,1652,131031,469627
3,4,De Slokop,Spaarndam,windmolen,poldermolen,8-kante grondzeiler,bestaand,19911,00012,https://zoeken.allemolens.nl/tenbruggencatenummer/00012,https://images.memorix.nl/rce/thumb/350x350/c6bbf59b-f95d-709d-3350-5da3e7f9e8f3.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/c6bbf59b-f95d-709d-3350-5da3e7f9e8f3.jpg,1877,106932,491280
4,5,Westveense Molen,Woerdense Verlaat,windmolen,poldermolen,wipmolen,bestaand,39003,00021,https://zoeken.allemolens.nl/tenbruggencatenummer/00021,https://images.memorix.nl/rce/thumb/350x350/f630b09a-55d9-c9e8-aab0-c4522db50702.jpg,poldermolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/f630b09a-55d9-c9e8-aab0-c4522db50702.jpg,1676,119308,463645
5,6,Kockengense Molen,Kockengen,windmolen,poldermolen,wipmolen,bestaand,23710,00023,https://zoeken.allemolens.nl/tenbruggencatenummer/00023,https://images.memorix.nl/rce/thumb/350x350/e605c5f1-17e9-df16-9461-69d40cd2b8be.jpg,poldermolen,Jan van Galen (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/e605c5f1-17e9-df16-9461-69d40cd2b8be.jpg,1675,124865,461710
6,7,Spengense Molen,Kockengen,windmolen,poldermolen,wipmolen,bestaand,23720,00024,https://zoeken.allemolens.nl/tenbruggencatenummer/00024,https://images.memorix.nl/rce/thumb/350x350/690de6bf-76d7-4096-6850-1c4fb93ff6aa.jpg,poldermolen,Jan van Galen (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/690de6bf-76d7-4096-6850-1c4fb93ff6aa.jpg,1841,124067,463729
7,8,Kortrijkse Molen,Breukelen,windmolen,poldermolen,wipmolen,bestaand,10625,00026,https://zoeken.allemolens.nl/tenbruggencatenummer/00026,https://images.memorix.nl/rce/thumb/350x350/c2f443b2-ca14-a219-f073-85913491c617.jpg,poldermolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/c2f443b2-ca14-a219-f073-85913491c617.jpg,1675,127775,464719
8,9,De Woudaap,Krommeniedijk,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,35858,00028,https://zoeken.allemolens.nl/tenbruggencatenummer/00028,https://images.memorix.nl/rce/thumb/350x350/e61b5ecc-5300-c579-3ccb-94c1299237cc.jpg,poldermolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/e61b5ecc-5300-c579-3ccb-94c1299237cc.jpg,1651,113425,503689
9,10,De Tweede Broekermolen,Uitgeest,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,35852,00029,https://zoeken.allemolens.nl/tenbruggencatenummer/00029,https://images.memorix.nl/rce/thumb/350x350/41294b34-b405-1639-d8af-c9424fc21171.jpg,poldermolen,Edwin Raap (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/41294b34-b405-1639-d8af-c9424fc21171.jpg,1631,110146,504479
10,11,De Dog,Uitgeest,windmolen,poldermolen,8-kante grondzeiler,bestaand,35854,00032,https://zoeken.allemolens.nl/tenbruggencatenummer/00032,https://images.memorix.nl/rce/thumb/350x350/d467c692-6690-0abb-0e59-5147a12d834e.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/d467c692-6690-0abb-0e59-5147a12d834e.jpg,1896,109367,505635
11,12,De Dorregeester Molen,Uitgeest / Dorregeest,windmolen,poldermolen,8-kante grondzeiler,bestaand,35851,00033,https://zoeken.allemolens.nl/tenbruggencatenummer/00033,https://images.memorix.nl/rce/thumb/350x350/26fff132-849e-3c78-6041-8b6cd5b9ce45.jpg,poldermolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/26fff132-849e-3c78-6041-8b6cd5b9ce45.jpg,1896,110428,506612
12,13,De Noordermolen,Akersloot,windmolen,poldermolen,8-kante grondzeiler,bestaand,7089,00037,https://zoeken.allemolens.nl/tenbruggencatenummer/00037,https://images.memorix.nl/rce/thumb/350x350/c392dae2-b4fb-222c-4f34-ef7b858189f5.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/c392dae2-b4fb-222c-4f34-ef7b858189f5.jpg,1589,111147,510366
13,14,De Groot / Molen van Piet,Alkmaar,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,7460,00039,https://zoeken.allemolens.nl/tenbruggencatenummer/00039,https://images.memorix.nl/rce/thumb/350x350/1eab3357-d0f3-ec7a-a2a6-1cb28757280f.jpg,korenmolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/1eab3357-d0f3-ec7a-a2a6-1cb28757280f.jpg,1769,111297,516024
14,15,Molen van Polder Breeveld / Breeveldse Molen,Woerden,windmolen,poldermolen,8-kante grondzeiler,restant,527505,00041,https://zoeken.allemolens.nl/tenbruggencatenummer/00041,https://images.memorix.nl/rce/thumb/350x350/aaa1dccf-e64b-2467-35d9-c94fd8744a7e.jpg,poldermolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/aaa1dccf-e64b-2467-35d9-c94fd8744a7e.jpg,1864,122676,456338
15,16,De Windhond,Woerden,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,39309,00042,https://zoeken.allemolens.nl/tenbruggencatenummer/00042,https://images.memorix.nl/rce/thumb/350x350/b891e26c-2b19-18b4-7bf0-8c2748b33444.jpg,korenmolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/b891e26c-2b19-18b4-7bf0-8c2748b33444.jpg,1755,120461,455242
16,17,Weijpoortsche Molen,Nieuwerbrug,windmolen,poldermolen,wipmolen,bestaand,9762,00045,https://zoeken.allemolens.nl/tenbruggencatenummer/00045,https://images.memorix.nl/rce/thumb/350x350/d538310f-ab5d-02c9-7504-572a33b72eaa.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/d538310f-ab5d-02c9-7504-572a33b72eaa.jpg,onbekend,114391,454756
17,18,De Arkduif,Bodegraven,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,9761,00046,https://zoeken.allemolens.nl/tenbruggencatenummer/00046,https://images.memorix.nl/rce/thumb/350x350/dcc0f12b-e02e-7ce1-d478-5260706879b7.jpg,korenmolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/dcc0f12b-e02e-7ce1-d478-5260706879b7.jpg,1697,110785,455475
18,19,De Dikke Molen,Zwammerdam / Alphen aan den Rijn,windmolen,poldermolen,8-kante grondzeiler,bestaand,7534,00049,https://zoeken.allemolens.nl/tenbruggencatenummer/00049,https://images.memorix.nl/rce/thumb/350x350/6852a14e-0a0c-747a-343a-6791b8369197.jpg,poldermolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/6852a14e-0a0c-747a-343a-6791b8369197.jpg,1674,109534,458234
19,20,Molen No. 3 ( bovenmolen ),Aarlanderveen,windmolen,poldermolen,8-kante grondzeiler,bestaand,7529,00050,https://zoeken.allemolens.nl/tenbruggencatenummer/00050,https://images.memorix.nl/rce/thumb/350x350/edebef52-b00b-49ca-72c1-069610861cf5.jpg,poldermolen,Ton Penders (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/edebef52-b00b-49ca-72c1-069610861cf5.jpg,1823,108706,458888
20,21,Molen Nr. 2 ( middenmolen ),Aarlanderveen,windmolen,poldermolen,8-kante grondzeiler,bestaand,7532,00051,https://zoeken.allemolens.nl/tenbruggencatenummer/00051,https://images.memorix.nl/rce/thumb/350x350/d9c56425-b914-6939-7d39-9034ecd9fea0.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/d9c56425-b914-6939-7d39-9034ecd9fea0.jpg,1869,109450,460064
21,22,Molen No. 4 ( de Put ),Aarlanderveen,windmolen,poldermolen,8-kante grondzeiler,bestaand,7533,00052,https://zoeken.allemolens.nl/tenbruggencatenummer/00052,https://images.memorix.nl/rce/thumb/350x350/33b426e4-74b4-7fc0-2a90-55cf48f5b8dc.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/33b426e4-74b4-7fc0-2a90-55cf48f5b8dc.jpg,1801,109397,461003
22,23,Steektermolen,Alphen aan den Rijn,windmolen,poldermolen,wipmolen,bestaand,7530,00053,https://zoeken.allemolens.nl/tenbruggencatenummer/00053,https://images.memorix.nl/rce/thumb/350x350/92b041a9-5e8a-6009-531a-ea4bc0aed8b1.jpg,poldermolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/92b041a9-5e8a-6009-531a-ea4bc0aed8b1.jpg,1597,107770,458205
23,24,De Eendracht,Alphen aan den Rijn,windmolen,korenmolen,8-kante stellingmolen,bestaand,7528,00054,https://zoeken.allemolens.nl/tenbruggencatenummer/00054,https://images.memorix.nl/rce/thumb/350x350/5f8fc950-c945-5354-a6cd-455c413b49d9.jpg,korenmolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/5f8fc950-c945-5354-a6cd-455c413b49d9.jpg,1898,105904,459303
24,25,Gnephoekse Molen,Alphen aan den Rijn,windmolen,poldermolen,8-kante grondzeiler,restant,geen  rijksmonument,00055,https://zoeken.allemolens.nl/tenbruggencatenummer/00055,https://images.memorix.nl/rce/thumb/350x350/b92e31e6-b2c1-091c-a9c9-8a67c4cb602a.jpg,poldermolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/b92e31e6-b2c1-091c-a9c9-8a67c4cb602a.jpg,1847,104145,462561
25,26,Vrouwgeestmolen,Alphen aan den Rijn,windmolen,poldermolen,8-kante grondzeiler,bestaand,7537,00056,https://zoeken.allemolens.nl/tenbruggencatenummer/00056,https://images.memorix.nl/rce/thumb/350x350/bb1adac2-0b39-d5cd-e067-1b0e1844b91e.jpg,poldermolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/bb1adac2-0b39-d5cd-e067-1b0e1844b91e.jpg,1797,104079,463192
26,27,De Rijnenburgermolen,Hazerswoude-Rijndijk,windmolen,poldermolen,8-kante grondzeiler,bestaand,21067,00060,https://zoeken.allemolens.nl/tenbruggencatenummer/00060,https://images.memorix.nl/rce/thumb/350x350/78d2542d-1e7e-7991-1556-7b52eba7b367.jpg,poldermolen,onbekend (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/78d2542d-1e7e-7991-1556-7b52eba7b367.jpg,1722,100699,459961
27,28,Hondsdijksemolen,Koudekerk aan den Rijn,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,23799,00061,https://zoeken.allemolens.nl/tenbruggencatenummer/00061,https://images.memorix.nl/rce/thumb/350x350/d98c7cf6-18a0-d924-e4f0-c8a676d74df5.jpg,poldermolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/d98c7cf6-18a0-d924-e4f0-c8a676d74df5.jpg,1693,100159,461696
28,29,De Groenendijkse Molen,Hazerswoude-Rijndijk,windmolen,poldermolen,wipmolen,bestaand,21064,00062,https://zoeken.allemolens.nl/tenbruggencatenummer/00062,https://images.memorix.nl/rce/thumb/350x350/ba3faddd-222e-ddb6-776d-9b4dd2a7ed9a.jpg,poldermolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/ba3faddd-222e-ddb6-776d-9b4dd2a7ed9a.jpg,1627,98647,460006
29,30,Barremolen,Zoeterwoude-Rijndijk,windmolen,poldermolen,8-kante grondzeiler,bestaand,41063,00064,https://zoeken.allemolens.nl/tenbruggencatenummer/00064,https://images.memorix.nl/rce/thumb/350x350/36c43a00-b70e-a954-7b75-dd149beef419.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/36c43a00-b70e-a954-7b75-dd149beef419.jpg,1661,97109,460639
30,31,De Valk (Museummolen),Leiden,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,25655,00069,https://zoeken.allemolens.nl/tenbruggencatenummer/00069,https://images.memorix.nl/rce/thumb/350x350/40711acc-aa5f-38be-4f67-9e403a486ac2.jpg,korenmolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/40711acc-aa5f-38be-4f67-9e403a486ac2.jpg,1743,93369,464422
31,32,Lisserpoelmolen,Lisse,windmolen,poldermolen,8-kante grondzeiler,bestaand,25907,00071,https://zoeken.allemolens.nl/tenbruggencatenummer/00071,https://images.memorix.nl/rce/thumb/350x350/0918051a-e606-a200-e13d-285fea37d299.jpg,poldermolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/0918051a-e606-a200-e13d-285fea37d299.jpg,onbekend,97981,471687
32,33,Stevenshofjesmolen,Leiden,windmolen,poldermolen,ronde stenen grondzeiler,bestaand,25681,00080,https://zoeken.allemolens.nl/tenbruggencatenummer/00080,https://images.memorix.nl/rce/thumb/350x350/bb3f1ff6-5e6e-4a2c-e9ee-a9e254ac9495.jpg,poldermolen,W.A. Korpershoek (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/bb3f1ff6-5e6e-4a2c-e9ee-a9e254ac9495.jpg,1797,90390,462921
33,34,Rijn en Lek,Wijk bij Duurstede,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,39683,00084,https://zoeken.allemolens.nl/tenbruggencatenummer/00084,https://images.memorix.nl/rce/thumb/350x350/f6adf52d-e6f0-2c53-d2f5-3f74a99d9b62.jpg,korenmolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/f6adf52d-e6f0-2c53-d2f5-3f74a99d9b62.jpg,onbekend,152412,442570
34,35,De Hoop,Rijswijk,windmolen,korenmolen,ronde stenen grondzeiler,bestaand,28328,00085,https://zoeken.allemolens.nl/tenbruggencatenummer/00085,https://images.memorix.nl/rce/thumb/350x350/f0dfd8c6-64ce-466b-6360-fbb2cc48e257.jpg,korenmolen,A.J. van der Wal (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/f0dfd8c6-64ce-466b-6360-fbb2cc48e257.jpg,1703,152892,441863
35,36,Oog in 't Zeil,Cothen,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,474236,00086,https://zoeken.allemolens.nl/tenbruggencatenummer/00086,https://images.memorix.nl/rce/thumb/350x350/b7753008-aa22-4575-c15b-e3168c71eba7.jpg,korenmolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/b7753008-aa22-4575-c15b-e3168c71eba7.jpg,1869,149786,445543
36,37,De Hoop,Appel,windmolen,korenmolen,8-kante stellingmolen,bestaand,30970,00092,https://zoeken.allemolens.nl/tenbruggencatenummer/00092,https://images.memorix.nl/rce/thumb/350x350/ecd0dd4e-99da-1767-3922-9ab0b036b75d.jpg,korenmolen,G.Th. Delemarre (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/ecd0dd4e-99da-1767-3922-9ab0b036b75d.jpg,1888,164486,467695
37,38,De Hoop,Lunteren,windmolen,korenmolen,8-kante grondzeiler,bestaand,14481,00095,https://zoeken.allemolens.nl/tenbruggencatenummer/00095,https://images.memorix.nl/rce/thumb/350x350/fa5e17cf-7eeb-cdfb-5b6d-7a781191e377.jpg,korenmolen,Jos Stover (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/fa5e17cf-7eeb-cdfb-5b6d-7a781191e377.jpg,1855,170910,455780
38,39,De Broekmolen / Polder Papekop en Diemerbroek,Woerden,windmolen,poldermolen,8-kante grondzeiler,restant,geen  rijksmonument,00098,https://zoeken.allemolens.nl/tenbruggencatenummer/00098,https://images.memorix.nl/rce/thumb/350x350/e77dc5bf-f0f2-ee40-bb5b-5c9494fa7c40.jpg,poldermolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/e77dc5bf-f0f2-ee40-bb5b-5c9494fa7c40.jpg,1875,120073,453778
39,40,Oukoopse Molen,Oukoop (bij Reeuwijk),windmolen,poldermolen,wipmolen,bestaand,32410,00099,https://zoeken.allemolens.nl/tenbruggencatenummer/00099,https://images.memorix.nl/rce/thumb/350x350/04e0bcea-760c-bef7-5d6e-9c69d4edd25f.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/04e0bcea-760c-bef7-5d6e-9c69d4edd25f.jpg,onbekend,113886,449593
40,41,Haastrechtse Molen,Gouda,windmolen,poldermolen,ronde stenen stellingmolen,bestaand,16918,00101,https://zoeken.allemolens.nl/tenbruggencatenummer/00101,https://images.memorix.nl/rce/thumb/350x350/4829af17-204a-94c6-e33b-c34aa7be6485.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/4829af17-204a-94c6-e33b-c34aa7be6485.jpg,1862,110383,446681
41,42,'t Slot,Gouda,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,16919,00102,https://zoeken.allemolens.nl/tenbruggencatenummer/00102,https://images.memorix.nl/rce/thumb/350x350/06b6db05-f6f9-9030-1637-1f6a26c34b93.jpg,korenmolen,G.Th. Delemarre (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/06b6db05-f6f9-9030-1637-1f6a26c34b93.jpg,1832,108842,446761
42,43,'t Hert,Putten,windmolen,korenmolen,8-kante stellingmolen,bestaand,32218,00104,https://zoeken.allemolens.nl/tenbruggencatenummer/00104,https://images.memorix.nl/rce/thumb/350x350/aedaf832-805a-c007-7030-653f0113a12e.jpg,korenmolen,W.A. Korpershoek (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/aedaf832-805a-c007-7030-653f0113a12e.jpg,1899,169862,474365
43,44,Bovenmolen G,Schermerhorn,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,33102,00116,https://zoeken.allemolens.nl/tenbruggencatenummer/00116,https://images.memorix.nl/rce/thumb/350x350/13350d1a-67cf-9490-22cc-841e197f83ef.jpg,poldermolen,W.A. Korpershoek (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/13350d1a-67cf-9490-22cc-841e197f83ef.jpg,onbekend,120870,513239
44,45,Ondermolen O,Ursem,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,33114,00122,https://zoeken.allemolens.nl/tenbruggencatenummer/00122,https://images.memorix.nl/rce/thumb/350x350/e2a4b106-8325-b49a-f805-19b29280446f.jpg,poldermolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/e2a4b106-8325-b49a-f805-19b29280446f.jpg,onbekend,120866,514476
45,46,Ondermolen K,Schermerhorn,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,33103,00126,https://zoeken.allemolens.nl/tenbruggencatenummer/00126,https://images.memorix.nl/rce/thumb/350x350/1c274ef1-88c6-5e02-0cd8-38efd9b4ee3c.jpg,poldermolen,W.A. Korpershoek (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/1c274ef1-88c6-5e02-0cd8-38efd9b4ee3c.jpg,onbekend,120774,513468
46,47,Bovenmolen E,Schermerhorn,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,33101,00128,https://zoeken.allemolens.nl/tenbruggencatenummer/00128,https://images.memorix.nl/rce/thumb/350x350/07388952-bfc9-846d-08bb-3275765476f1.jpg,poldermolen,A.J. van der Wal (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/07388952-bfc9-846d-08bb-3275765476f1.jpg,1634,120316,512545
47,48,Ondermolen D (Museummolen),Schermerhorn,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,33105,00129,https://zoeken.allemolens.nl/tenbruggencatenummer/00129,https://images.memorix.nl/rce/thumb/350x350/ca607a6b-1995-fec1-bef0-b1bb1283302b.jpg,poldermolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/ca607a6b-1995-fec1-bef0-b1bb1283302b.jpg,onbekend,120190,512631
48,49,Ondermolen C,Schermerhorn,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,33107,00130,https://zoeken.allemolens.nl/tenbruggencatenummer/00130,https://images.memorix.nl/rce/thumb/350x350/78e35e92-7f74-c597-edb9-09bf4aedb56b.jpg,poldermolen,onbekend (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/78e35e92-7f74-c597-edb9-09bf4aedb56b.jpg,onbekend,120050,512684
49,50,Poldermolen D,Stompetoren,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,33095,00150,https://zoeken.allemolens.nl/tenbruggencatenummer/00150,https://images.memorix.nl/rce/thumb/350x350/2223fdc9-2788-9b89-54e5-445124da7b0b.jpg,poldermolen,W.A. Korpershoek (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/2223fdc9-2788-9b89-54e5-445124da7b0b.jpg,1635,117225,514050
50,51,Poldermolen E,Stompetoren,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,33096,00151,https://zoeken.allemolens.nl/tenbruggencatenummer/00151,https://images.memorix.nl/rce/thumb/350x350/34ad13f3-af77-e42a-0657-e0302d187db0.jpg,poldermolen,P. van Galen (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/34ad13f3-af77-e42a-0657-e0302d187db0.jpg,1635,115887,514526
51,52,Poldermolen K,Zuidschermer,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,7085,00156,https://zoeken.allemolens.nl/tenbruggencatenummer/00156,https://images.memorix.nl/rce/thumb/350x350/f3b0029c-18c4-851d-3479-fc6a84f71aea.jpg,poldermolen,P. van Galen (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/f3b0029c-18c4-851d-3479-fc6a84f71aea.jpg,onbekend,114211,510391
52,53,Poldermolen M,Zuidschermer (Stompetoren),windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,33115,00158,https://zoeken.allemolens.nl/tenbruggencatenummer/00158,https://images.memorix.nl/rce/thumb/350x350/ee990664-88b5-328a-ef2e-1c8cb6640165.jpg,poldermolen,P. van Galen (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/ee990664-88b5-328a-ef2e-1c8cb6640165.jpg,1635,115066,513538
53,54,Poldermolen O,Schermerhorn,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,33106,00160,https://zoeken.allemolens.nl/tenbruggencatenummer/00160,https://images.memorix.nl/rce/thumb/350x350/7f981be4-7633-f41e-016d-b55f6d5cd235.jpg,poldermolen,W.A. Korpershoek (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/7f981be4-7633-f41e-016d-b55f6d5cd235.jpg,onbekend,119073,512727
54,55,De Menningweermolen,Grootschermer,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,33090,00163,https://zoeken.allemolens.nl/tenbruggencatenummer/00163,https://images.memorix.nl/rce/thumb/350x350/34e706fe-2f20-ad77-e4e2-6765173c3dfd.jpg,poldermolen,onbekend (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/34e706fe-2f20-ad77-e4e2-6765173c3dfd.jpg,1888,117893,511237
55,56,Strijkmolen L,Rustenburg,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,531075,00166,https://zoeken.allemolens.nl/tenbruggencatenummer/00166,https://images.memorix.nl/rce/thumb/350x350/f10938a4-04f8-4c29-3a8d-34a8bc07ce1e.jpg,poldermolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/f10938a4-04f8-4c29-3a8d-34a8bc07ce1e.jpg,1631,119777,516503
56,57,Strijkmolen K,Rustenburg,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,531077,00167,https://zoeken.allemolens.nl/tenbruggencatenummer/00167,https://images.memorix.nl/rce/thumb/350x350/7a870b98-ea80-e909-0725-a377ee645f9c.jpg,poldermolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/7a870b98-ea80-e909-0725-a377ee645f9c.jpg,1631,119902,516461
57,58,Strijkmolen I,Rustenburg,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,531078,00168,https://zoeken.allemolens.nl/tenbruggencatenummer/00168,https://images.memorix.nl/rce/thumb/350x350/3250bfbe-0c51-652e-3c02-49e96719f454.jpg,poldermolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/3250bfbe-0c51-652e-3c02-49e96719f454.jpg,1864,120034,516440
58,59,De Otter,Oterleek,windmolen,korenmolen,8-kante grondzeiler,bestaand,33097,00170,https://zoeken.allemolens.nl/tenbruggencatenummer/00170,https://images.memorix.nl/rce/thumb/350x350/0bbb8933-ec41-9e69-4e0b-57e3b2f7c06f.jpg,korenmolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/0bbb8933-ec41-9e69-4e0b-57e3b2f7c06f.jpg,1900,117311,516252
59,60,Strijkmolen Geestmerambacht / Ambachtsmolen,Oudorp (Alkmaar),windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,7472,00175,https://zoeken.allemolens.nl/tenbruggencatenummer/00175,https://images.memorix.nl/rce/thumb/350x350/00335264-b6be-f883-144f-44cd0a284b55.jpg,poldermolen,Edwin Raap (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/00335264-b6be-f883-144f-44cd0a284b55.jpg,1632,113887,516447
60,61,Sint Victor,Heeze,windmolen,korenmolen,ronde stenen beltmolen,bestaand,21292,00179,https://zoeken.allemolens.nl/tenbruggencatenummer/00179,https://images.memorix.nl/rce/thumb/350x350/b4a96f03-45e5-736d-fb3f-8c7f707a38ce.jpg,korenmolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/b4a96f03-45e5-736d-fb3f-8c7f707a38ce.jpg,1852,168069,376123
